"TASM Dumb8SQW TABLE  "
/* This is the instruction set definition table for the Dumb8SQW
/* 
/* No (unconditional jumps or calls) or (reads with side effects) in the 2 instruction shadow of conditional jumps
/* Three pipes required after stab or xxto of variable until ldab
/* Three pipes required after stab of Index until ldab	@
/* 
/* Gilbert Eldredge, CopyRight MESA Electronics, 2011.
/* 
/* iiii WInn nnnn nnnn DIRECT INSTRUCTIONS
/* iiii is instruction, Writeback, Indirect,
/* 4 index registers 
/* addresses extended to 11 bits 7-2009
/* added SHLN,SHRN 5-2011
/* reduced address field
/* added to instructions ldatob left out for simple decode
/*--------------------------------------------------------------*/
.MSFIRST
.WORDADDRS

/*INSTR	ARGS	OPCODE	BYTES	MOD	CLASS 	SHIFT 	OR */
/* r : operate opcode
/* x : don't care
/* k : constant
/* a : address
/* p : page
/* o : offset


/* 0000 0000 xxxx xxxx
/*NO OPERAND
NOP		""	0000	2	NOP	1	0	0	/*nop
DATAPIPE	""	0001	2	NOP	1	0	0	/*nop
INDEXPIPE	""	0002	2	NOP	1	0	0	/*nop
JUMPSHADOWPIPE	""	0003	2	NOP	1	0	0	/*nop

/* 0000 0001 kkkk kkkk
/*IMMEDIATE BYTE OPERAND 
LDIB	*	0100	2	T1	1	0	00FF	/*load immediate

/* 0000 00rr xxxx xxxx
/*NO OPERAND
RCLB	""	0200	2	NOP	1	0	0	/*rotate with carry left
RCRB	""	0300	2	NOP	1	0	0	/*rotate with carry right

SHLN	""	0280	2	NOP	1	0	0	/*shift 4 bits left shift in zero and shift out carry
SHRN	""	0380	2	NOP	1	0	0	/*shift 4 bits right shift in zero and shift out carry

/* 0000 rrii ixxx xxxx
LDAB	XL	0400	2	NOP	1	0	0	/*move XL to acc
LDAB	YL	0500	2	NOP	1	0	0	/*move YL to acc
LDAB	ZL	0600	2	NOP	1	0	0	/*move ZL to acc
LDAB	TL	0700	2	NOP	1	0	0	/*move TL to acc
LDAB	XH	0480	2	NOP	1	0	0	/*move XH to acc
LDAB	YH	0580	2	NOP	1	0	0	/*move YH to acc
LDAB	ZH	0680	2	NOP	1	0	0	/*move ZH to acc
LDAB	TH	0780	2	NOP	1	0	0	/*move TH to acc
 
STAB	XL	0800	2	NOP	1	0	0	/*move acc to XL
STAB	YL	0900	2	NOP	1	0	0	/*move acc to YL
STAB	ZL	0A00	2	NOP	1	0	0	/*move acc to XL
STAB	TL	0B00	2	NOP	1	0	0	/*move acc to TL
STAB	XH	0880	2	NOP	1	0	0	/*move acc to XH
STAB	YH	0980	2	NOP	1	0	0	/*move acc to YH
STAB	ZH	0A80	2	NOP	1	0	0	/*move acc to ZH
STAB	TH	0B80	2	NOP	1	0	0	/*move acc to TH

ADDIX	*	0C00	2	T1	1	0	7F	/*add immediate to X
ADDIY	*	0D00	2	T1	1	0	7F	/*add immediate to Y
ADDIZ	*	0E00	2	T1	1	0	7F	/*add immediate to X
ADDIT	*	0F00	2	T1	1	0	7F	/*add immediate to Y

RTT     ""      0C80    2       NOP     1       0       0       /*save return address in temp
STAB	RL	0D80	2	NOP	1	0	0	/*load acc from indirect reg x
TTR     ""      0E80    2       NOP     1       0       0       /*restore return address from temp
STAB	RH	0F80	2	NOP	1	0	0	/*load acc from indirect reg y

/*11 BIT OPERAND, PROGRAM ADDRESS FOR JUMPS
/* iiii 0aaa aaaa aaaa DIRECT INSTRUCTIONS
JMP	*	1000	2	T1	1	0	07FF	/*
JMPNZ	*	2000	2	T1	1	0	07FF
JMPZ	*	3000	2	T1	1	0	07FF
JMPNC	*	4000	2	T1	1	0	07FF	/*
JMPC	*	5000	2	T1	1	0	07FF	/*
JSR	*	6000	2	T1	1	0	07FF	/*10 bits only

/*INDIRECT 8 BIT OFFSET, 
/* iiii 0100 0000 0000 INDIRECT INSTRUCTIONS
LDAB	@X	7400	2	NOP	1	0	0000	/*load acc from operand
ORB	@X	8400	2	NOP	1	0	0000
XORB	@X	9400	2	NOP	1	0	0000
ANDB	@X	A400	2	NOP	1	0	0000
STAB	@X	B400	2	NOP	1	0	0000	/*store acc to operand
ADDB	@X	C400	2	NOP	1	0	0000
ADDCB	@X	D400	2	NOP	1	0	0000
SUBB	@X	E400	2	NOP	1	0	0000
SUBCB	@X	F400	2	NOP	1	0	0000

/*INDIRECT 8 BIT OPERAND, 
/* iiii 0100 oooo oooo INDIRECT INSTRUCTIONS
LDAB	@X,*	7400	2	T1	1	0	007F	/*load acc from operand
ORB	@X,*	8400	2	T1	1	0	007F
XORB	@X,*	9400	2	T1	1	0	007F
ANDB	@X,*	A400	2	T1	1	0	007F
STAB	@X,*	B400	2	T1	1	0	007F	/*store acc to operand
ADDB	@X,*	C400	2	T1	1	0	007F
ADDCB	@X,*	D400	2	T1	1	0	007F
SUBB	@X,*	E400	2	T1	1	0	007F
SUBCB	@X,*	F400	2	T1	1	0	007F

/*INDIRECT 8 BIT OFFSET, 
/* iiii 1100 0000 0000 INDIRECT INSTRUCTIONS
ORTOB	@X	8C00	2	NOP	1	0	0000
XORTOB	@X	9C00	2	NOP	1	0	0000
ANDTOB	@X	AC00	2	NOP	1	0	0000
STATOB	@X	BC00	2	NOP	1	0	0000	/*store acc to operand
ADDTOB	@X	CC00	2	NOP	1	0	0000
ADDCTOB	@X	DC00	2	NOP	1	0	0000
SUBTOB	@X	EC00	2	NOP	1	0	0000
SUBCTOB	@X	FC00	2	NOP	1	0	0000

/*INDIRECT 8 BIT OPERAND, 
/* iiii 1100 oooo oooo INDIRECT INSTRUCTIONS
ORTOB	@X,*	8C00	2	T1	1	0	007F
XORTOB	@X,*	9C00	2	T1	1	0	007F
ANDTOB	@X,*	AC00	2	T1	1	0	007F
STATOB	@X,*	BC00	2	T1	1	0	007F	/*store acc to operand
ADDTOB	@X,*	CC00	2	T1	1	0	007F
ADDCTOB	@X,*	DC00	2	T1	1	0	007F
SUBTOB	@X,*	EC00	2	T1	1	0	007F
SUBCTOB	@X,*	FC00	2	T1	1	0	007F

/* iiii 0101 0000 0000 INDIRECT INSTRUCTIONS
LDAB	@Y	7580	2	NOP	1	0	0000	/*load acc from operand
ORB	@Y	8580	2	NOP	1	0	0000
XORB	@Y	9580	2	NOP	1	0	0000
ANDB	@Y	A580	2	NOP	1	0	0000
STAB	@Y	B580	2	NOP	1	0	0000	/*store acc to operand
ADDB	@Y	C580	2	NOP	1	0	0000
ADDCB	@Y	D580	2	NOP	1	0	0000
SUBB	@Y	E580	2	NOP	1	0	0000
SUBCB	@Y	F580	2	NOP	1	0	0000

/* iiii 0101 oooo oooo INDIRECT INSTRUCTIONS
LDAB	@Y,*	7580	2	T1	1	0	007F	/*load acc from operand
ORB	@Y,*	8580	2	T1	1	0	007F
XORB	@Y,*	9580	2	T1	1	0	007F
ANDB	@Y,*	A580	2	T1	1	0	007F
